Nombre;preSobrantes;preFaltantes;postSobrantes;postFaltantes;
RuidoN-DriverLogFold1;2;0;1;1;
RuidoN-DriverLogFold2;2;0;0;0;
RuidoN-DriverLogFold3;2;0;0;0;
RuidoN-DriverLogFold4;2;0;1;1;
RuidoN-DriverLogFold5;2;0;1;1;
RuidoN-DriverLogR10Fold1;2;0;1;1;
RuidoN-DriverLogR10Fold2;3;0;1;1;
RuidoN-DriverLogR10Fold3;2;0;0;0;
RuidoN-DriverLogR10Fold4;2;0;0;0;
RuidoN-DriverLogR10Fold5;2;0;0;0;
RuidoN-DriverLogR20Fold1;2;0;0;0;
RuidoN-DriverLogR20Fold2;2;0;0;0;
RuidoN-DriverLogR20Fold3;2;0;1;1;
RuidoN-DriverLogR20Fold4;2;0;1;1;
RuidoN-DriverLogR20Fold5;2;0;1;1;
RuidoN-DriverLogR3Fold1;2;0;1;1;
RuidoN-DriverLogR3Fold2;2;0;1;1;
RuidoN-DriverLogR3Fold3;2;0;0;0;
RuidoN-DriverLogR3Fold4;2;0;1;1;
RuidoN-DriverLogR3Fold5;2;0;0;0;
RuidoN-DriverLogR5Fold1;2;0;0;0;
RuidoN-DriverLogR5Fold2;2;0;2;2;
RuidoN-DriverLogR5Fold3;2;0;0;0;
RuidoN-DriverLogR5Fold4;2;0;2;2;
RuidoN-DriverLogR5Fold5;2;0;1;1;
